Price(EUR),Rooms,Area(m2),YearOfBuild,YearOfBuildWasNan,Adice,Avijatičarsko Naselje,Banatić,Bulevar Evrope,Bulevar Oslobođenja,Detelinara,Grbavica,Klisa,Liman,Novo Naselje,Petrovaradin,Podbara,Rare_var,Rotkvarija,Sajmište,Salajka,Sremska Kamenica,Stari Grad,Telep,Veternik,Adice,Avijatičarsko Naselje,Bistrica,Bulevar Evrope,Bulevar Oslobođenja,Bulevar Patrijarha Pavla (Somborski Bulevar),Cara Dušana,Centar,Grbavica,Jevrejska,Kej,Kej Žrtava Racije,Liman 3,Liman 4,Nova Detelinara,Novo Naselje,Petrovaradin,Podbara,Rare_var,Sajmište,Salajka,Socijalno,Spens,Sremska Kamenica,Stari Grad,Telep,Veternik,Veternička Rampa,Šarengrad,Železnička stanica,centralno grejanje,etažno grejanje,grejanje na gas,grejanje na struju,podno grejanje,polunamešteno,prazno,ima lift (1),ima lift (2),u procesu uknjižavanja,uknjiženo,Rare_var,luksuzno,novo,potrebno renoviranje,renovirano,u izgradnji,uobičajeno stanje,useljivo,2,3,4,5,6,7,Rare_var,prizemlje,suteren,visoko
149350,0.33333333333333337,0.18936877076411962,0.9930795847750864,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113300,0.26666666666666666,0.19269102990033224,0.9930795847750864,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000,0.13333333333333336,0.12292358803986711,0.9930795847750864,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
95280,0.06666666666666667,0.159468438538206,0.9930795847750864,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
118450,0.2,0.18604651162790697,0.9930795847750864,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
115350,0.33333333333333337,0.25249169435215946,0.9930795847750864,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
105000,0.26666666666666666,0.19601328903654486,0.9930795847750864,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
67900,0.2,0.15282392026578073,0.9713297083539297,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
108500,0.26666666666666666,0.26578073089700993,0.9915966386554621,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
103000,0.2,0.20930232558139536,0.9836875926841324,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
