Id,Price(EUR),Location,Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
0,5.0,Liman,Liman 4,3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",58,uknjiženo,,,0,1
1,4.0,Detelinara,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",59,uknjiženo,,useljivo,0,1
2,3.0,Detelinara,Nova Detelinara,1.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",38,uknjiženo,,useljivo,0,4
3,3.0,Bulevar Oslobođenja,Bulevar Oslobođenja,1,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",49,uknjiženo,,useljivo,0,7
4,4.0,Liman,Liman 3,2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon",57,uknjiženo,,useljivo,0,4
5,4.0,Banatić,Banatić,3,centralno grejanje,prazno,ima lift (1),"telefon, internet, interfon, klima",77,uknjiženo,,useljivo,0,3
6,4.0,Bulevar Oslobođenja,Bulevar Oslobođenja,2.5,centralno grejanje,prazno,ima lift (1),telefon,60,nije uknjiženo,,useljivo,0,visoko
7,2.0,Detelinara,Nova Detelinara,2,centralno grejanje,prazno,ima lift (1),telefon,47,nije uknjiženo,,useljivo,1965,3
8,4.0,Detelinara,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),telefon,81,uknjiženo,uobičajeno stanje,useljivo,2006,5
9,4.0,Klisa,Šonsi,2,centralno grejanje,prazno,ima lift (1),telefon,64,uknjiženo,uobičajeno stanje,useljivo,1990,2
10,4.0,Banatić,Železnička stanica,3,centralno grejanje,prazno,ima lift (1),telefon,77,uknjiženo,uobičajeno stanje,useljivo,1900,3
11,3.0,Liman,Miloša Crnjanskog,2,centralno grejanje,prazno,ima lift (1),telefon,55,uknjiženo,uobičajeno stanje,useljivo,1900,7
12,2.0,Stari Grad,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),telefon,24,uknjiženo,uobičajeno stanje,useljivo,1900,1
13,1.0,Stari Grad,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),telefon,21,uknjiženo,uobičajeno stanje,useljivo,1900,1
14,3.0,Stari Grad,Jevrejska,1,centralno grejanje,prazno,ima lift (1),telefon,36,uknjiženo,uobičajeno stanje,useljivo,1900,1
