,Price(EUR),Address,Rooms,Heating,SetUp,Elevator,Stores,Area(m2),Evident,State,Infrared,YearOfBuild,Floor
0,69000,Bulevar Evrope,0.5,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",24,uknjiženo,novo,useljivo,2015,3/5
1,99500,Bistrica,2,centralno grejanje,namešteno,ima lift (1),"interfon, klima, Kanalizacija",39,uknjiženo,novo,useljivo,2022,6/7
2,282000,Kej,4.5,centralno grejanje,namešteno,ima lift (1),"interfon, klima, Kanalizacija",137,uknjiženo,uobičajeno stanje,useljivo,1960,2/3
3,67900,Nova Detelinara,2,centralno grejanje,namešteno,ima lift (1),"interfon, klima, Kanalizacija",47,uknjiženo,uobičajeno stanje,useljivo,1965,3/4
4,106600,Branka Bajića,2,centralno grejanje,namešteno,ima lift (1),"interfon, klima, Kanalizacija",45,u procesu uknjižavanja,novo,useljivo,1965,5/6
5,73500,Bulevar Oslobođenja,2,centralno grejanje,namešteno,ima lift (1),"interfon, klima, Kanalizacija",44,uknjiženo,novo,useljivo,1965,6/7
6,75300,Kisačka,1.5,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",43,uknjiženo,novo,useljivo,1965,6/7
7,99000,Miloša Crnjanskog,2,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",55,uknjiženo,uobičajeno stanje,useljivo,1965,7/7
8,112500,Jevrejska,2,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",52,uknjiženo,uobičajeno stanje,useljivo,1965,1/1
9,49800,Jevrejska,0.5,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",21,uknjiženo,uobičajeno stanje,useljivo,1965,1/1
10,103000,Liman 2,1.5,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",53,uknjiženo,uobičajeno stanje,useljivo,1975,4/10
11,123600,Bulevar Oslobođenja,2,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",50,uknjiženo,uobičajeno stanje,useljivo,1967,3/4
12,108500,Nova Detelinara,2.5,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",81,uknjiženo,uobičajeno stanje,useljivo,2006,5/5
13,103000,Šonsi,2,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",64,uknjiženo,uobičajeno stanje,useljivo,1990,2/4
14,111240,Futoška,2.5,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",65,uknjiženo,uobičajeno stanje,useljivo,2005,2.
15,115360,Železnička stanica,3,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",77,uknjiženo,uobičajeno stanje,useljivo,1900,3/7
16,430000,Kej,4,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",208,uknjiženo,uobičajeno stanje,useljivo,1980,5/5
17,51500,Veternik,1,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",31,uknjiženo,u izgradnji,useljivo,2022,2/2
18,149990,Novi Sad - Centar,2,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",48,uknjiženo,uobičajeno stanje,useljivo,2022,3/5
19,69000,Bulevar Evrope,0.5,etažno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",28,uknjiženo,uobičajeno stanje,useljivo,2015,3/7
20,145230,Podbara,2.5,etažno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",61,uknjiženo,uobičajeno stanje,useljivo,2022,1/4
21,157590,Grbavica,4,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",103,uknjiženo,uobičajeno stanje,useljivo,2013,6/6
22,177430,Telep,4,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",87,uknjiženo,uobičajeno stanje,useljivo,2022,2/2
23,198790,Nova Detelinara,4,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",88,uknjiženo,uobičajeno stanje,useljivo,2016,2/5
24,72100,Podbara,1.5,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",35,uknjiženo,u izgradnji,useljivo,2022,2.
25,54590,Podbara,0.5,grejanje na gas,prazno,ima lift (1),"interfon, klima, Kanalizacija",21,uknjiženo,uobičajeno stanje,useljivo,2000,5/5
26,86210,Klisa,3.5,grejanje na gas,prazno,ima lift (1),"interfon, klima, Kanalizacija",62,uknjiženo,u izgradnji,useljivo,2022,1/2
27,46350,Telep,0.5,grejanje na gas,prazno,ima lift (1),"interfon, klima, Kanalizacija",23,uknjiženo,uobičajeno stanje,useljivo,2006,prizemlje/3
28,103000,Novi Sad - Centar,2,grejanje na gas,prazno,ima lift (1),"interfon, klima, Kanalizacija",44,uknjiženo,uobičajeno stanje,useljivo,1999,3/4
29,143685,Novo Naselje,3,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",90,uknjiženo,uobičajeno stanje,useljivo,1996,3/4
30,133900,Nova Detelinara,3,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",82,uknjiženo,uobičajeno stanje,useljivo,2006,5/5
31,50980,"BLOK 8, PETROVARADIN",0.5,centralno grejanje,prazno,ima lift (1),"interfon, klima, Kanalizacija",24,uknjiženo,uobičajeno stanje,useljivo,2006,3/5
32,260000,Dr Jovana Raškovića,4,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",130,uknjiženo,u izgradnji,useljivo,2006,visoko
33,103000,"DETELINARA, NOVI SAD",3,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",66,uknjiženo,u izgradnji,useljivo,2006,2/4
34,101000,"TELEP, NOVI SAD",2.5,grejanje na gas,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",56,uknjiženo,u izgradnji,useljivo,2006,1/4
35,78980,"CENTAR, NOVI SAD",2.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",54,uknjiženo,u izgradnji,useljivo,2006,1/4
36,104800,"GRBAVICA, NOVI SAD",2,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",53,uknjiženo,u izgradnji,useljivo,2006,4/5
37,66950,"CENTAR, NOVI SAD",0.5,centralno grejanje,prazno,ima lift (1),"telefon, kablovska, internet, interfon, klima",24,uknjiženo,u izgradnji,useljivo,2006,2/5
